policy,sigma_km,maneuver,pair_id,rso_id,delta_v_magnitude_mps,seconds_after_burn,nis,exceeds_chi2_p99
advanced_greedy,0,nullburn,seed_054,19,0,3259.174805,6.923516776e-05,False
advanced_greedy,0,nullburn,seed_055,42,0,652.9939575,4.805458593e-05,False
advanced_greedy,0,nullburn,seed_055,24,0,1928.626709,7.91231214e-05,False
advanced_greedy,0,nullburn,seed_055,56,0,2674.752441,4.458757394e-05,False
advanced_greedy,0,nullburn,seed_055,99,0,3396.874512,2.616661368e-05,False
advanced_greedy,0,nullburn,seed_055,43,0,3635.384033,8.963965229e-05,False
advanced_greedy,0,nullburn,seed_056,53,0,1121.452148,1.5735739e-05,False
advanced_greedy,0,nullburn,seed_056,81,0,2555.642334,1.764261737e-09,False
advanced_greedy,0,nullburn,seed_056,3,0,2641.312744,1.988427721e-05,False
advanced_greedy,0,nullburn,seed_057,10,0,1300.826416,3.344196375e-05,False
advanced_greedy,0,nullburn,seed_057,37,0,2388.694336,6.245786062e-05,False
advanced_greedy,0,nullburn,seed_057,95,0,2410.031494,7.649850158e-05,False
advanced_greedy,0,nullburn,seed_058,45,0,635.7990112,0.0001212829811,False
